"구분","구분","링크","링크","링크","링크","링크","링크","링크","링크"
"광역시도","시군구","전체","고속도로","도시고속도로","일반국도","특별광역시도","국가지원지방도","지방도","시군도"
"전남광주통합특별시","보성군","5,097","151","0","1,044","0","67","1,404","2,431"
"전남광주통합특별시","화순군","5,806","0","0","810","0","173","1,216","3,607"
"전남광주통합특별시","장흥군","5,644","82","0","956","0","0","987","3,619"
"전남광주통합특별시","강진군","4,975","69","0","709","0","181","716","3,300"
"전남광주통합특별시","해남군","9,386","0","0","1,473","0","180","1,367","6,366"
"전남광주통합특별시","영암군","8,329","52","0","496","0","151","1,498","6,132"
"전남광주통합특별시","무안군","7,409","161","0","667","0","350","1,148","5,083"
"전남광주통합특별시","함평군","5,138","208","0","780","0","0","828","3,322"
"전남광주통합특별시","영광군","5,450","104","0","1,095","0","18","755","3,478"
"전남광주통합특별시","장성군","6,631","277","0","544","0","291","752","4,767"
"전남광주통합특별시","완도군","3,022","0","0","562","0","0","207","2,253"
"전남광주통합특별시","진도군","4,420","0","0","853","0","0","839","2,728"
"전남광주통합특별시","신안군","2,766","0","0","870","0","0","656","1,240"
"경상북도","포항시남구","9,782","114","0","948","0","0","573","8,147"
"경상북도","포항시북구","9,557","182","0","877","0","985","234","7,279"
"경상북도","경주시","16,914","307","0","2,949","0","543","1,009","12,106"
"경상북도","김천시","9,149","302","0","1,660","0","0","1,440","5,747"
"경상북도","안동시","12,162","215","0","1,967","0","50","1,931","7,999"
"경상북도","구미시","13,258","312","0","1,283","0","310","677","10,676"
"경상북도","영주시","5,790","81","0","456","0","468","581","4,204"
"경상북도","영천시","7,742","420","0","829","0","405","1,047","5,041"
"경상북도","상주시","9,153","418","0","1,114","0","780","1,447","5,394"
"경상북도","문경시","7,722","96","0","694","0","189","1,436","5,307"
"경상북도","경산시","10,485","158","0","327","0","529","594","8,877"
"경상북도","군위군","3,781","201","0","621","20","405","578","1,956"
"경상북도","의성군","6,360","227","0","1,139","0","467","1,584","2,943"
"경상북도","청송군","3,734","88","0","847","0","152","972","1,675"
"경상북도","영양군","2,737","0","0","535","0","0","1,462","740"
"경상북도","영덕군","4,876","249","0","660","0","624","514","2,829"
"경상북도","청도군","4,076","66","0","838","0","342","558","2,272"
"경상북도","고령군","3,630","149","0","406","0","225","273","2,577"
"경상북도","성주군","5,692","139","0","883","0","93","803","3,774"
"경상북도","칠곡군","7,389","292","0","828","0","195","234","5,840"
"경상북도","예천군","6,475","56","0","749","0","89","1,242","4,339"
"경상북도","봉화군","4,048","0","0","787","0","250","980","2,031"
"경상북도","울진군","5,522","0","0","975","0","262","762","3,523"
"경상북도","울릉군","335","0","0","0","0","255","0","80"
"경상남도","진주시","13,757","216","0","756","0","97","1,939","10,749"
"경상남도","통영시","4,066","63","0","521","0","37","497","2,948"
"경상남도","사천시","8,702","88","0","593","0","452","1,064","6,505"
"경상남도","김해시","19,488","534","0","842","0","584","662","16,866"
"경상남도","밀양시","7,572","290","0","1,051","0","178","1,029","5,024"
"경상남도","거제시","6,795","0","0","687","0","252","874","4,982"
"경상남도","양산시","12,475","244","0","605","0","302","824","10,500"
"경상남도","의령군","4,649","0","0","549","0","252","1,079","2,769"
"경상남도","함안군","6,117","190","0","494","0","378","1,046","4,009"
"경상남도","창녕군","7,255","136","0","1,060","0","174","1,257","4,628"
"경상남도","고성군","5,406","106","0","950","0","154","1,608","2,588"
"경상남도","남해군","2,978","0","0","845","0","0","868","1,265"
"경상남도","하동군","5,758","68","0","712","0","0","1,439","3,539"
"경상남도","산청군","5,778","106","0","1,176","0","341","860","3,295"
"경상남도","함양군","5,386","193","0","763","0","516","740","3,174"
"경상남도","거창군","6,141","100","0","899","0","217","1,367","3,558"
"경상남도","합천군","6,500","54","0","1,160","0","283","1,386","3,617"
"제주특별자치도","제주시","20,293","0","0","0","0","364","3,822","16,107"
"제주특별자치도","서귀포시","16,770","0","0","0","0","254","3,392","13,124"
"세종특별자치시","세종특별자치시","11,893","62","0","694","9,436","325","981","395"
"경상남도","창원시의창구","6,549","74","33","413","0","456","0","5,573"
"경상남도","창원시성산구","3,558","0","0","181","0","0","149","3,228"
"경상남도","창원시마산합포구","4,859","0","0","995","0","0","398","3,466"
"경상남도","창원시마산회원구","2,645","74","0","260","0","55","0","2,256"
"경상남도","창원시진해구","9,042","35","0","519","0","4","0","8,484"
